Params: a-n= 1100 , fact-n= 9
Tactic call beta-iota-slow ran for 0.001 secs (0.u,0.s)
Tactic call unify-beta-iota-slow ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 1.712 secs (1.696u,0.015s) (success)
Params: a-n= 1200 , fact-n= 9
Tactic call beta-iota-slow ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-slow ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 1.696 secs (1.696u,0.s) (success)
Params: a-n= 1300 , fact-n= 9
Tactic call beta-iota-slow ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-slow ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 1.7 secs (1.7u,0.s) (success)
Params: a-n= 1400 , fact-n= 9
Tactic call beta-iota-slow ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-slow ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 1.699 secs (1.699u,0.s) (success)
Params: a-n= 1500 , fact-n= 9
Tactic call beta-iota-slow ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-slow ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 1.704 secs (1.704u,0.s) (success)
Params: a-n= 1600 , fact-n= 9
Tactic call beta-iota-slow ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-slow ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 1.709 secs (1.709u,0.s) (success)
Params: a-n= 1700 , fact-n= 9
Tactic call beta-iota-slow ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-slow ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 1.71 secs (1.71u,0.s) (success)
Params: a-n= 1800 , fact-n= 9
Tactic call beta-iota-slow ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-slow ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 1.713 secs (1.713u,0.s) (success)
Params: a-n= 1900 , fact-n= 9
Tactic call beta-iota-slow ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-slow ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 1.723 secs (1.723u,0.s) (success)
Params: a-n= 2000 , fact-n= 9
Tactic call beta-iota-slow ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-slow ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 1.725 secs (1.725u,0.s) (success)
Params: a-n= 2100 , fact-n= 9
Tactic call beta-iota-slow ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-slow ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 1.733 secs (1.733u,0.s) (success)
Params: a-n= 2200 , fact-n= 9
Tactic call beta-iota-slow ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-slow ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 1.729 secs (1.729u,0.s) (success)
Params: a-n= 2300 , fact-n= 9
Tactic call beta-iota-slow ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-slow ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 1.712 secs (1.712u,0.s) (success)
Params: a-n= 2400 , fact-n= 9
Tactic call beta-iota-slow ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-slow ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 1.706 secs (1.706u,0.s) (success)
Params: a-n= 2500 , fact-n= 9
Tactic call beta-iota-slow ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-slow ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 1.679 secs (1.679u,0.s) (success)
Params: a-n= 2600 , fact-n= 9
Tactic call beta-iota-slow ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-slow ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 1.679 secs (1.679u,0.s) (success)
Params: a-n= 2700 , fact-n= 9
Tactic call beta-iota-slow ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-slow ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 1.698 secs (1.697u,0.s) (success)
Params: a-n= 2800 , fact-n= 9
Tactic call beta-iota-slow ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-slow ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 1.698 secs (1.698u,0.s) (success)
Params: a-n= 2900 , fact-n= 9
Tactic call beta-iota-slow ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-slow ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 1.695 secs (1.695u,0.s) (success)
Params: a-n= 3000 , fact-n= 9
Tactic call beta-iota-slow ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-slow ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 1.702 secs (1.702u,0.s) (success)
Params: a-n= 3100 , fact-n= 9
Tactic call beta-iota-slow ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-slow ran for 0.003 secs (0.u,0.003s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 1.71 secs (1.709u,0.s) (success)
Params: a-n= 3200 , fact-n= 9
Tactic call beta-iota-slow ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-slow ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 1.708 secs (1.708u,0.s) (success)
Params: a-n= 3300 , fact-n= 9
Tactic call beta-iota-slow ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-slow ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 1.712 secs (1.711u,0.s) (success)
Params: a-n= 3400 , fact-n= 9
Tactic call beta-iota-slow ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-slow ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 1.729 secs (1.729u,0.s) (success)
Params: a-n= 3500 , fact-n= 9
Tactic call beta-iota-slow ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-slow ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 1.73 secs (1.73u,0.s) (success)
Params: a-n= 3600 , fact-n= 9
Tactic call beta-iota-slow ran for 0.003 secs (0.003u,0.s)
Tactic call unify-beta-iota-slow ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 1.735 secs (1.735u,0.s) (success)
Params: a-n= 3700 , fact-n= 9
Tactic call beta-iota-slow ran for 0.003 secs (0.003u,0.s)
Tactic call unify-beta-iota-slow ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 1.742 secs (1.742u,0.s) (success)
Params: a-n= 3800 , fact-n= 9
Tactic call beta-iota-slow ran for 0.003 secs (0.003u,0.s)
Tactic call unify-beta-iota-slow ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 1.738 secs (1.738u,0.s) (success)
Params: a-n= 3900 , fact-n= 9
Tactic call beta-iota-slow ran for 0.003 secs (0.003u,0.s)
Tactic call unify-beta-iota-slow ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 1.737 secs (1.737u,0.s) (success)
Params: a-n= 4000 , fact-n= 9
Tactic call beta-iota-slow ran for 0.003 secs (0.003u,0.s)
Tactic call unify-beta-iota-slow ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 1.742 secs (1.742u,0.s) (success)
Params: a-n= 4100 , fact-n= 9
Tactic call beta-iota-slow ran for 0.003 secs (0.003u,0.s)
Tactic call unify-beta-iota-slow ran for 0.004 secs (0.004u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 1.734 secs (1.734u,0.s) (success)
Params: a-n= 4200 , fact-n= 9
Tactic call beta-iota-slow ran for 0.003 secs (0.003u,0.s)
Tactic call unify-beta-iota-slow ran for 0.004 secs (0.004u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 1.756 secs (1.756u,0.s) (success)
Params: a-n= 4300 , fact-n= 9
Tactic call beta-iota-slow ran for 0.003 secs (0.003u,0.s)
