Params: a-n= 1100 , fact-n= 8
Tactic call beta-iota-slow ran for 0.001 secs (0.u,0.s)
Tactic call unify-beta-iota-slow ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.185 secs (0.185u,0.s) (success)
Params: a-n= 1200 , fact-n= 8
Tactic call beta-iota-slow ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-slow ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.19 secs (0.19u,0.s) (success)
Params: a-n= 1300 , fact-n= 8
Tactic call beta-iota-slow ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-slow ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.195 secs (0.194u,0.s) (success)
Params: a-n= 1400 , fact-n= 8
Tactic call beta-iota-slow ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-slow ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.196 secs (0.196u,0.s) (success)
Params: a-n= 1500 , fact-n= 8
Tactic call beta-iota-slow ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-slow ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.2 secs (0.2u,0.s) (success)
Params: a-n= 1600 , fact-n= 8
Tactic call beta-iota-slow ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-slow ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.201 secs (0.201u,0.s) (success)
Params: a-n= 1700 , fact-n= 8
Tactic call beta-iota-slow ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-slow ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.204 secs (0.204u,0.s) (success)
Params: a-n= 1800 , fact-n= 8
Tactic call beta-iota-slow ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-slow ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.228 secs (0.228u,0.s) (success)
Params: a-n= 1900 , fact-n= 8
Tactic call beta-iota-slow ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-slow ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.235 secs (0.235u,0.s) (success)
Params: a-n= 2000 , fact-n= 8
Tactic call beta-iota-slow ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-slow ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.235 secs (0.235u,0.s) (success)
Params: a-n= 2100 , fact-n= 8
Tactic call beta-iota-slow ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-slow ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.239 secs (0.239u,0.s) (success)
Params: a-n= 2200 , fact-n= 8
Tactic call beta-iota-slow ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-slow ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.211 secs (0.211u,0.s) (success)
Params: a-n= 2300 , fact-n= 8
Tactic call beta-iota-slow ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-slow ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.214 secs (0.214u,0.s) (success)
Params: a-n= 2400 , fact-n= 8
Tactic call beta-iota-slow ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-slow ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.214 secs (0.214u,0.s) (success)
Params: a-n= 2500 , fact-n= 8
Tactic call beta-iota-slow ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-slow ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.217 secs (0.217u,0.s) (success)
Params: a-n= 2600 , fact-n= 8
Tactic call beta-iota-slow ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-slow ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.223 secs (0.223u,0.s) (success)
Params: a-n= 2700 , fact-n= 8
Tactic call beta-iota-slow ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-slow ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.255 secs (0.255u,0.s) (success)
Params: a-n= 2800 , fact-n= 8
Tactic call beta-iota-slow ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-slow ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.255 secs (0.255u,0.s) (success)
Params: a-n= 2900 , fact-n= 8
Tactic call beta-iota-slow ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-slow ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.254 secs (0.254u,0.s) (success)
Params: a-n= 3000 , fact-n= 8
Tactic call beta-iota-slow ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-slow ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.263 secs (0.263u,0.s) (success)
Params: a-n= 3100 , fact-n= 8
Tactic call beta-iota-slow ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-slow ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.265 secs (0.265u,0.s) (success)
Params: a-n= 3200 , fact-n= 8
Tactic call beta-iota-slow ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-slow ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.262 secs (0.262u,0.s) (success)
Params: a-n= 3300 , fact-n= 8
Tactic call beta-iota-slow ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-slow ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.267 secs (0.267u,0.s) (success)
Params: a-n= 3400 , fact-n= 8
Tactic call beta-iota-slow ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-slow ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.283 secs (0.283u,0.s) (success)
Params: a-n= 3500 , fact-n= 8
Tactic call beta-iota-slow ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-slow ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.285 secs (0.285u,0.s) (success)
Params: a-n= 3600 , fact-n= 8
Tactic call beta-iota-slow ran for 0.003 secs (0.003u,0.s)
Tactic call unify-beta-iota-slow ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.288 secs (0.288u,0.s) (success)
Params: a-n= 3700 , fact-n= 8
Tactic call beta-iota-slow ran for 0.003 secs (0.003u,0.s)
Tactic call unify-beta-iota-slow ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.291 secs (0.291u,0.s) (success)
Params: a-n= 3800 , fact-n= 8
Tactic call beta-iota-slow ran for 0.003 secs (0.003u,0.s)
Tactic call unify-beta-iota-slow ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.296 secs (0.296u,0.s) (success)
Params: a-n= 3900 , fact-n= 8
Tactic call beta-iota-slow ran for 0.003 secs (0.003u,0.s)
Tactic call unify-beta-iota-slow ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.296 secs (0.296u,0.s) (success)
Params: a-n= 4000 , fact-n= 8
Tactic call beta-iota-slow ran for 0.003 secs (0.003u,0.s)
Tactic call unify-beta-iota-slow ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.302 secs (0.302u,0.s) (success)
Params: a-n= 4100 , fact-n= 8
Tactic call beta-iota-slow ran for 0.003 secs (0.003u,0.s)
Tactic call unify-beta-iota-slow ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.305 secs (0.305u,0.s) (success)
Params: a-n= 4200 , fact-n= 8
Tactic call beta-iota-slow ran for 0.003 secs (0.003u,0.s)
Tactic call unify-beta-iota-slow ran for 0.004 secs (0.004u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.291 secs (0.291u,0.s) (success)
Params: a-n= 4300 , fact-n= 8
Tactic call beta-iota-slow ran for 0.003 secs (0.003u,0.s)
