param-a-n param-fact-n abstract-unify-beta-iota-fast-real abstract-unify-beta-iota-fast-sys abstract-unify-beta-iota-fast-user abstract-unify-beta-iota-slow-real abstract-unify-beta-iota-slow-sys abstract-unify-beta-iota-slow-user beta-iota-fast-real beta-iota-fast-sys beta-iota-fast-user beta-iota-slow-real beta-iota-slow-sys beta-iota-slow-user unify-beta-iota-fast-real unify-beta-iota-fast-sys unify-beta-iota-fast-user unify-beta-iota-slow-real unify-beta-iota-slow-sys unify-beta-iota-slow-user
0 8 0. 0. 0. 0.155 0. 0.155 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
1 8 0. 0. 0. 0.156 0. 0.156 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
2 8 0. 0. 0. 0.158 0. 0.158 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
100 8 0.003 0. 0.003 0.16 0. 0.159 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
200 8 0.006 0. 0.006 0.155 0. 0.155 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
300 8 0.008 0. 0.008 0.171 0. 0.171 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
400 8 0.012 0. 0.012 0.177 0. 0.176 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
500 8 0.015 0. 0.015 0.194 0. 0.194 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
600 8 0.018 0. 0.018 0.201 0. 0.2 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
700 8 0.021 0. 0.021 0.202 0. 0.202 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
800 8 0.024 0. 0.024 0.202 0. 0.201 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
900 8 0.028 0. 0.028 0.207 0.002 0.204 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
1000 8 0.03 0. 0.03 0.208 0. 0.208 0. 0. 0. 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1100 8 0.032 0. 0.032 0.187 0.001 0.186 0.001 0. 0.001 0.001 0. 0. 0.001 0. 0.001 0.001 0.001 0.
