Params: a-n= 0 , fact-n= 8
Tactic call beta-iota-fast ran for 0. secs (0.u,0.s)
Tactic call unify-beta-iota-fast ran for 0. secs (0.u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0. secs (0.u,0.s) (success)
Params: a-n= 1 , fact-n= 8
Tactic call beta-iota-fast ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-fast ran for 0. secs (0.u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0. secs (0.u,0.s) (success)
Params: a-n= 2 , fact-n= 8
Tactic call beta-iota-fast ran for 0. secs (0.u,0.s)
Tactic call unify-beta-iota-fast ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0. secs (0.u,0.s) (success)
